doi,access_right,title
10.5281/zenodo.574024,open,Virginia Synthetic Ecosystem
10.5281/zenodo.574067,open,Morocco Synthetic Ecosystem
10.5281/zenodo.574077,open,Pakistan Synthetic Ecosystem
10.5281/zenodo.574025,open,Washington Synthetic Ecosystem
10.5281/zenodo.574020,open,Tennessee Synthetic Ecosystem
10.5281/zenodo.574023,open,Vermont Synthetic Ecosystem
10.5281/zenodo.574091,open,Turkey Synthetic Ecosystem
10.5281/zenodo.574093,open,Uganda Synthetic Ecosystem
10.5281/zenodo.574094,open,Ukraine Synthetic Ecosystem
10.5281/zenodo.573988,open,Georgia Synthetic Ecosystem
10.5281/zenodo.574016,open,Pennsylvania Synthetic Ecosystem
10.5281/zenodo.573998,open,Maryland Synthetic Ecosystem
10.5281/zenodo.573982,open,California Synthetic Ecosystem
10.5281/zenodo.574000,open,Michigan Synthetic Ecosystem
10.5281/zenodo.574045,open,Germany Synthetic Ecosystem
10.5281/zenodo.33629,open,Streptorubin Synthetic procedure
10.5281/zenodo.574006,open,Nevada Synthetic Ecosystem
10.5281/zenodo.3608227,restricted,Gravity Synthetic data
10.5281/zenodo.573994,open,Kansas Synthetic Ecosystem
10.5281/zenodo.573997,open,Maine Synthetic Ecosystem
10.5281/zenodo.574083,open,Romania Synthetic Ecosystem
10.5281/zenodo.573985,open,Delaware Synthetic Ecosystem
10.5281/zenodo.574070,open,Mongolia Synthetic Ecosystem
10.5281/zenodo.574069,open,Mali Synthetic Ecosystem
10.5281/zenodo.574021,open,Texas Synthetic Ecosystem
10.5281/zenodo.574041,open,Cameroon Synthetic Ecosystem
10.5281/zenodo.574034,open,Belarus Synthetic Ecosystem
10.5281/zenodo.573990,open,Idaho Synthetic Ecosystem
10.5281/zenodo.574005,open,Nebraska Synthetic Ecosystem
10.5281/zenodo.574090,open,Thailand Synthetic Ecosystem
10.5281/zenodo.574002,open,Mississippi Synthetic Ecosystem
10.5281/zenodo.574074,open,Nigeria Synthetic Ecosystem
10.5281/zenodo.574050,open,Ethiopia Synthetic Ecosystem
10.5281/zenodo.573978,open,Alabama Synthetic Ecosystem
10.5281/zenodo.573989,open,Hawaii Synthetic Ecosystem
10.5281/zenodo.574097,open,Venezuela Synthetic Ecosystem
10.5281/zenodo.574054,open,Greece Synthetic Ecosystem
10.5281/zenodo.574049,open,Spain Synthetic Ecosystem
10.5281/zenodo.573996,open,Louisiana Synthetic Ecosystem
10.5281/zenodo.5082689,open,CINECA synthetic cohort Europe CH SIB [CC-BY-NC-SA]
10.5281/zenodo.161423,open,Synthetic J-H-K-W1-W2-W3-G-B-V photometry for random population of binary & single stars
10.5281/zenodo.3583450,open,Synthetic Datasets for Using synthetic datasets to bridge the gap between the promise and reality of basing health-related decisions on common single nucleotide polymorphisms
10.5281/zenodo.4022939,open,Mobil İlaçlama ve Sulama Robotu Pozitif ve Negatif Örnekler
10.5281/zenodo.5458777,closed,H6B6 MS2 reporter data
10.5281/zenodo.5459314,closed,Z2B6 MS2 reporter data
10.5281/zenodo.5458309,closed,B12 MS2 reporter data
10.5281/zenodo.5457893,closed,B6 MS2 reporter data
10.5281/zenodo.5459338,closed,Z6 MS2 reporter data
10.5281/zenodo.5457944,closed,B9 MS2 reporter data
10.5281/zenodo.5459332,closed,H6 MS2 reporter data
10.5281/zenodo.4722875,open,"Synthetic OES spectra for C2 (Swan system, close to v′=0→v′′=0). Supporting Data for ""Processing slightly resolved ro-vibrational spectra... machine learning approach for plasma thermometry"" (arXiv: 2011.12647 and others)"
10.5281/zenodo.5459336,closed,Z2 MS2 reporter data
10.25349/D9PP5J,open,Robot Control Gestures (RoCoG)
10.5281/zenodo.5465647,closed,B9 MS2 reporter in Bcd-1X (bcdE1) data
10.5281/zenodo.5464655,closed,B6 MS2 reporter in Bcd-1X (bcdE1) data
10.5281/zenodo.5466741,closed,B12 MS2 reporter in Bcd-1X (bcdE1) data
10.5281/zenodo.5466785,closed,H6B6 MS2 reporter in Bcd-1X (bcdE1) data
10.5281/zenodo.5466823,closed,Z2B6 MS2 reporter in Bcd-1X (bcdE1) data
10.5281/zenodo.5083049,open,"Urban bicycle networks, existing and synthetically grown"
10.5281/zenodo.5463618,closed,B9 MS2 reporter in Bcd-1X (delta-bcd) data
10.5281/zenodo.5473374,closed,B6-hbpromoter MS2 reporter data
10.5281/zenodo.5994754,closed,B6 MS2 reporter in Bcd-1X (delta-bcd) data
10.5281/zenodo.5994806,closed,Z2B6 MS2 reporter in Bcd-1X (delta-bcd) data
10.5281/zenodo.1405561,open,Data Mapping Using dot15926 Editor
10.5281/zenodo.5902313,open,Multi-parameter photon-by-photon hidden Markov modeling dataset
10.5281/zenodo.5122832,open,CINECA synthetic cohort NA Canada CHILD [CC-BY-NC-SA]
10.3897/BDJ.9.e72305.suppl1,open,"Supplementary material 1 from: Szalárdi T, Szanyi S, Szarukán I, Tóth M, Nagy A (2021) Semiochemical baited traps of lepidopteran pests of economic importance can deliver reliable data also on wide range of non-target species: case study in the Hajdúság Region of East Pannonian Lowland (East Hungary). Biodiversity Data Journal 9: e72305. https://doi.org/10.3897/BDJ.9.e72305"
10.5061/dryad.mpg4f4qtr,open,"Microplastic contamination in Corpus Christi Bay blue crabs, Callinectes sapidus"
10.5281/zenodo.5246582,restricted,Synthetic dataset for the testing of an MT-Mag  geophysical integration workflow
10.5281/zenodo.2563622,open,UnLoc dataset (Synthetic + Real)
10.5281/zenodo.574018,open,South Carolina Synthetic Ecosystem
10.5281/zenodo.574017,open,Rhode Island Synthetic Ecosystem
10.5281/zenodo.574010,open,New York Synthetic Ecosystem
10.5281/zenodo.574043,open,Costa Rica Synthetic Ecosystem
10.5281/zenodo.574026,open,West Virginia Synthetic Ecosystem
10.5281/zenodo.5638870,open,Amalia synthetic model runs
10.5281/zenodo.574087,open,El Salvador Synthetic Ecosystem
10.5281/zenodo.574088,open,South Sudan Synthetic Ecosystem
10.5281/zenodo.574019,open,South Dakota Synthetic Ecosystem
10.5281/zenodo.3871486,open,Synthetic Datasets for mpEDM
10.5281/zenodo.574085,open,Sudan (the) Synthetic Ecosystem
10.5061/dryad.c59zw3r68,open,Electric vehicle synthetic trips
10.5281/zenodo.574007,open,New Hampshire Synthetic Ecosystem
10.5281/zenodo.3737630,open,Synthetic spherical tissue images
10.5281/zenodo.574011,open,North Carolina Synthetic Ecosystem
10.5281/zenodo.574012,open,North Dakota Synthetic Ecosystem
10.5281/zenodo.574008,open,New Jersey Synthetic Ecosystem
10.5281/zenodo.5576176,open,Synthetic onedrive trace file
10.5281/zenodo.4449681,open,Synthetic Patient Appointment Dataset
10.5281/zenodo.574046,open,Dominican Republic Synthetic Ecosystem
10.5281/zenodo.1306284,open,Synthetic dataset rain Samedan
10.5281/zenodo.5852000,open,Synthetic population for GIN
10.5281/zenodo.574032,open,Burkina Faso Synthetic Ecosystem
10.5281/zenodo.4696060,open,Synthetic building performance data
10.5281/zenodo.574099,open,South Africa Synthetic Ecosystem
10.5281/zenodo.574009,open,New Mexico Synthetic Ecosystem
10.5281/zenodo.3558284,open,The Plenoptic 2.0 Toolbox: Benchmarking of Depth Estimation Methods for MLA-Based Focused Plenoptic Cameras
10.5281/zenodo.4450368,open,Synthetic Molecules and Egghunt Data
10.5281/zenodo.897187,open,Re-projection alignment for trajectory perturbation estimation in micro-tomography: simulation data
10.5281/zenodo.56534,open,Accompanying dataset for: Predicting Species Emergence in Simulated Complex Pre-Biotic Networks
10.5281/zenodo.1174315,open,sim2real-iCub-iit2
10.5281/zenodo.1173747,open,sim2real-iCub-iit
10.5281/zenodo.4537805,open,BENCHMARK SYNTHETIC SINUSOIDAL BED FORMS
10.5281/zenodo.3839778,open,Synthetic Datasets for Evaluation of Spa-Typing Methods
10.5281/zenodo.5591969,open,IMMI Dataset
10.5281/zenodo.31293,open,Global Star-formation Properties Extracted from Synthetic Star-forming Regions | Appendix C
10.5281/zenodo.3723880,open,Three-dimensional hydraulic tomography analysis of long-term municipal wellfield operations: Validation with synthetic flow and solute transport data
10.5281/zenodo.4349220,open,Data: Autonomous Drones for Search and Rescue in Forests
10.5281/zenodo.4024677,open,Data: Search and Rescue with Airborne Optical Sectioning
10.5281/zenodo.5123372,open,Synthetic noisy urban soundscapes: a dataset of synthetic soundscapes with real urban backgrounds
10.5061/dryad.53b6n5f,open,Data from: Construction and characterization of synthetic bacterial community for experimental ecology and evolution
10.5281/zenodo.5514323,open,"Input Data for ""Protein Function Prediction for newly sequenced organisms"""
10.5281/zenodo.6381287,open,Synthetic memory circuits for programmable cell reconfiguration in plants
10.5281/zenodo.5544671,open,PatchFlow v1.0 age-stratified networks ECU
10.5281/zenodo.5544737,open,PatchFlow v1.0 age-stratified networks ISL
10.5281/zenodo.5544916,open,PatchFlow v1.0 age-stratified networks YEM
10.5281/zenodo.5544688,open,PatchFlow v1.0 age-stratified networks FRA
10.5281/zenodo.5544804,open,PatchFlow v1.0 age-stratified networks NAM
10.5281/zenodo.5544680,open,PatchFlow v1.0 age-stratified networks ETH
10.5281/zenodo.5544788,open,PatchFlow v1.0 age-stratified networks MKD
10.5281/zenodo.5544882,open,PatchFlow v1.0 age-stratified networks TUN
10.5281/zenodo.5544782,open,PatchFlow v1.0 age-stratified networks LVA
10.5281/zenodo.5544850,open,PatchFlow v1.0 age-stratified networks SLB
10.5281/zenodo.5544794,open,PatchFlow v1.0 age-stratified networks MNG
10.5281/zenodo.5544908,open,PatchFlow v1.0 age-stratified networks WSM
10.5281/zenodo.5544766,open,PatchFlow v1.0 age-stratified networks LAO
10.5281/zenodo.5544900,open,PatchFlow v1.0 age-stratified networks VEN
10.5281/zenodo.5544848,open,PatchFlow v1.0 age-stratified networks SGP
10.5281/zenodo.5544660,open,PatchFlow v1.0 age-stratified networks CZE
10.5281/zenodo.5544593,open,PatchFlow v1.0 age-stratified networks AND
10.5281/zenodo.5544658,open,PatchFlow v1.0 age-stratified networks CYP
10.5281/zenodo.5544854,open,PatchFlow v1.0 age-stratified networks SLV
10.5281/zenodo.5544716,open,PatchFlow v1.0 age-stratified networks HTI
10.5281/zenodo.5544768,open,PatchFlow v1.0 age-stratified networks LBN
10.5281/zenodo.5544826,open,PatchFlow v1.0 age-stratified networks PHL
10.5281/zenodo.5544731,open,PatchFlow v1.0 age-stratified networks IRL
10.5281/zenodo.5544810,open,PatchFlow v1.0 age-stratified networks NIC
10.5281/zenodo.5544617,open,PatchFlow v1.0 age-stratified networks BGR
10.5281/zenodo.5544611,open,PatchFlow v1.0 age-stratified networks BEN
10.5281/zenodo.5544814,open,PatchFlow v1.0 age-stratified networks NPL
10.5281/zenodo.5544828,open,PatchFlow v1.0 age-stratified networks POL
10.5281/zenodo.5544607,open,PatchFlow v1.0 age-stratified networks AZE
10.5281/zenodo.5544603,open,PatchFlow v1.0 age-stratified networks AUS
10.5281/zenodo.5544667,open,PatchFlow v1.0 age-stratified networks DOM
10.5281/zenodo.5544677,open,PatchFlow v1.0 age-stratified networks EST
10.5281/zenodo.5544733,open,PatchFlow v1.0 age-stratified networks IRN
10.5281/zenodo.5544743,open,PatchFlow v1.0 age-stratified networks ITA
10.5281/zenodo.5544714,open,PatchFlow v1.0 age-stratified networks HRV
10.5281/zenodo.5544774,open,PatchFlow v1.0 age-stratified networks LKA
10.5281/zenodo.5544886,open,PatchFlow v1.0 age-stratified networks TWN
10.5281/zenodo.5544812,open,PatchFlow v1.0 age-stratified networks NLD
10.5281/zenodo.5544852,open,PatchFlow v1.0 age-stratified networks SLE
10.5281/zenodo.5544673,open,PatchFlow v1.0 age-stratified networks EGY
10.5281/zenodo.5544613,open,PatchFlow v1.0 age-stratified networks BFA
10.5281/zenodo.5544844,open,PatchFlow v1.0 age-stratified networks SAU
10.5281/zenodo.5544830,open,PatchFlow v1.0 age-stratified networks PRT
10.5281/zenodo.5544792,open,PatchFlow v1.0 age-stratified networks MNE
10.5281/zenodo.5544834,open,PatchFlow v1.0 age-stratified networks QAT
10.5281/zenodo.5544718,open,PatchFlow v1.0 age-stratified networks HUN
10.5281/zenodo.5544700,open,PatchFlow v1.0 age-stratified networks GIN
10.5281/zenodo.5544790,open,PatchFlow v1.0 age-stratified networks MLT
10.5281/zenodo.5544876,open,PatchFlow v1.0 age-stratified networks TJK
10.5281/zenodo.5544654,open,PatchFlow v1.0 age-stratified networks COL
10.5281/zenodo.5544735,open,PatchFlow v1.0 age-stratified networks IRQ
10.5281/zenodo.5544623,open,PatchFlow v1.0 age-stratified networks BIH
10.5281/zenodo.5544860,open,PatchFlow v1.0 age-stratified networks SUR
10.5281/zenodo.5544665,open,PatchFlow v1.0 age-stratified networks DNK
10.5281/zenodo.5544638,open,PatchFlow v1.0 age-stratified networks BTN
10.5281/zenodo.5544621,open,PatchFlow v1.0 age-stratified networks BHS
10.5281/zenodo.5544884,open,PatchFlow v1.0 age-stratified networks TUR
10.5281/zenodo.5544696,open,PatchFlow v1.0 age-stratified networks GHA
10.5281/zenodo.5544755,open,PatchFlow v1.0 age-stratified networks KEN
10.5281/zenodo.5544708,open,PatchFlow v1.0 age-stratified networks GUY
10.5281/zenodo.5544632,open,PatchFlow v1.0 age-stratified networks BOL
10.5281/zenodo.5544720,open,PatchFlow v1.0 age-stratified networks IDN
10.5281/zenodo.5544682,open,PatchFlow v1.0 age-stratified networks FIN
10.5281/zenodo.5544786,open,PatchFlow v1.0 age-stratified networks MEX
10.5281/zenodo.5544690,open,PatchFlow v1.0 age-stratified networks GBR
10.5281/zenodo.5544868,open,PatchFlow v1.0 age-stratified networks SYC
10.5281/zenodo.5544870,open,PatchFlow v1.0 age-stratified networks SYR
10.5281/zenodo.5544888,open,PatchFlow v1.0 age-stratified networks TZA
10.5281/zenodo.5544866,open,PatchFlow v1.0 age-stratified networks SWE
10.5281/zenodo.5544712,open,PatchFlow v1.0 age-stratified networks HND
10.5281/zenodo.5544650,open,PatchFlow v1.0 age-stratified networks CMR
10.5281/zenodo.5544629,open,PatchFlow v1.0 age-stratified networks BLZ
10.5281/zenodo.5544609,open,PatchFlow v1.0 age-stratified networks BEL
10.5281/zenodo.5544741,open,PatchFlow v1.0 age-stratified networks ISR
10.5281/zenodo.5544761,open,PatchFlow v1.0 age-stratified networks KOR
10.5281/zenodo.5544822,open,PatchFlow v1.0 age-stratified networks PAN
10.5281/zenodo.5544780,open,PatchFlow v1.0 age-stratified networks LUX
10.5281/zenodo.5544745,open,PatchFlow v1.0 age-stratified networks JAM
10.5281/zenodo.5544816,open,PatchFlow v1.0 age-stratified networks NZL
10.5281/zenodo.5544619,open,PatchFlow v1.0 age-stratified networks BHR
10.5281/zenodo.5544615,open,PatchFlow v1.0 age-stratified networks BGD
10.5281/zenodo.5544591,open,PatchFlow v1.0 age-stratified networks ALB
10.5281/zenodo.5544669,open,PatchFlow v1.0 age-stratified networks DZA
10.5281/zenodo.5544724,open,PatchFlow v1.0 age-stratified networks IND
10.5281/zenodo.5544605,open,PatchFlow v1.0 age-stratified networks AUT
10.5281/zenodo.5544872,open,PatchFlow v1.0 age-stratified networks THA
10.5281/zenodo.5544839,open,PatchFlow v1.0 age-stratified networks RUS
10.5281/zenodo.5544820,open,PatchFlow v1.0 age-stratified networks PAK
10.5281/zenodo.5544856,open,PatchFlow v1.0 age-stratified networks SRB
10.12345/zenodo.12345,restricted,Datasets for Model 1
10.5281/zenodo.5544636,open,PatchFlow v1.0 age-stratified networks BRN
10.5281/zenodo.5544764,open,PatchFlow v1.0 age-stratified networks KWT
10.5281/zenodo.5544652,open,PatchFlow v1.0 age-stratified networks COG
10.5281/zenodo.5544644,open,PatchFlow v1.0 age-stratified networks CHE
10.5281/zenodo.5544906,open,PatchFlow v1.0 age-stratified networks VUT
10.5281/zenodo.5544759,open,PatchFlow v1.0 age-stratified networks KHM
10.5281/zenodo.5544808,open,PatchFlow v1.0 age-stratified networks NGA
10.5281/zenodo.5544862,open,PatchFlow v1.0 age-stratified networks SVK
10.5281/zenodo.5544918,open,PatchFlow v1.0 age-stratified networks ZAF
10.5281/zenodo.5544710,open,PatchFlow v1.0 age-stratified networks HKG
10.5281/zenodo.5544646,open,PatchFlow v1.0 age-stratified networks CHL
10.5281/zenodo.5544902,open,PatchFlow v1.0 age-stratified networks VNM
10.5281/zenodo.5544599,open,PatchFlow v1.0 age-stratified networks ARM
10.5281/zenodo.5544648,open,PatchFlow v1.0 age-stratified networks CHN
10.5281/zenodo.5544818,open,PatchFlow v1.0 age-stratified networks OMN
10.5281/zenodo.5544770,open,PatchFlow v1.0 age-stratified networks LBR
10.5281/zenodo.5544702,open,PatchFlow v1.0 age-stratified networks GRC
10.5281/zenodo.5544634,open,PatchFlow v1.0 age-stratified networks BRA
10.5281/zenodo.5544912,open,PatchFlow v1.0 age-stratified networks XKO
10.5281/zenodo.5544878,open,PatchFlow v1.0 age-stratified networks TLS
10.5281/zenodo.5544749,open,PatchFlow v1.0 age-stratified networks JPN
10.5281/zenodo.5544910,open,PatchFlow v1.0 age-stratified networks XAD
10.5281/zenodo.5544914,open,PatchFlow v1.0 age-stratified networks XNC
10.5281/zenodo.5544601,open,PatchFlow v1.0 age-stratified networks ATG
10.5281/zenodo.5544798,open,PatchFlow v1.0 age-stratified networks MRT
10.5281/zenodo.5544796,open,PatchFlow v1.0 age-stratified networks MOZ
10.123456/zenodo.123456,restricted,Datasets for Model 2
10.5281/zenodo.5544778,open,PatchFlow v1.0 age-stratified networks LTU
10.5281/zenodo.5053036,open,Synthetic data for R training
10.5281/zenodo.5544832,open,PatchFlow v1.0 age-stratified networks PRY
10.5281/zenodo.5544597,open,PatchFlow v1.0 age-stratified networks ARG
10.5281/zenodo.5544747,open,PatchFlow v1.0 age-stratified networks JOR
10.5281/zenodo.5544692,open,PatchFlow v1.0 age-stratified networks GEO
10.5281/zenodo.5544686,open,PatchFlow v1.0 age-stratified networks FJI
10.5281/zenodo.5544802,open,PatchFlow v1.0 age-stratified networks MYS
10.5281/zenodo.5544784,open,PatchFlow v1.0 age-stratified networks MAR
10.5281/zenodo.5544625,open,PatchFlow v1.0 age-stratified networks BLR
10.5281/zenodo.5544836,open,PatchFlow v1.0 age-stratified networks ROU
10.5281/zenodo.5544772,open,PatchFlow v1.0 age-stratified networks LCA
10.5281/zenodo.5544776,open,PatchFlow v1.0 age-stratified networks LSO
10.5281/zenodo.5544800,open,PatchFlow v1.0 age-stratified networks MUS
10.5281/zenodo.5544663,open,PatchFlow v1.0 age-stratified networks DEU
10.5281/zenodo.5544806,open,PatchFlow v1.0 age-stratified networks NER
10.5281/zenodo.5544753,open,PatchFlow v1.0 age-stratified networks KAZ
10.5281/zenodo.5544864,open,PatchFlow v1.0 age-stratified networks SVN
10.5281/zenodo.5544922,open,PatchFlow v1.0 age-stratified networks ZWE
10.5281/zenodo.5544640,open,PatchFlow v1.0 age-stratified networks BWA
10.5281/zenodo.5544595,open,PatchFlow v1.0 age-stratified networks ARE
10.5281/zenodo.5544880,open,PatchFlow v1.0 age-stratified networks TON
10.5281/zenodo.5544842,open,PatchFlow v1.0 age-stratified networks RWA
10.5281/zenodo.5544896,open,PatchFlow v1.0 age-stratified networks USA
10.5281/zenodo.5544675,open,PatchFlow v1.0 age-stratified networks ESP
10.5281/zenodo.5544656,open,PatchFlow v1.0 age-stratified networks CRI
10.5281/zenodo.5544846,open,PatchFlow v1.0 age-stratified networks SEN
10.5281/zenodo.5544858,open,PatchFlow v1.0 age-stratified networks STP
10.5281/zenodo.5544890,open,PatchFlow v1.0 age-stratified networks UGA
10.5281/zenodo.5544892,open,PatchFlow v1.0 age-stratified networks UKR
10.5281/zenodo.5544824,open,PatchFlow v1.0 age-stratified networks PER
10.5281/zenodo.5544898,open,PatchFlow v1.0 age-stratified networks UZB
10.5281/zenodo.5544920,open,PatchFlow v1.0 age-stratified networks ZMB
10.5281/zenodo.5544757,open,PatchFlow v1.0 age-stratified networks KGZ
10.5281/zenodo.5544894,open,PatchFlow v1.0 age-stratified networks URY
10.5281/zenodo.5544642,open,PatchFlow v1.0 age-stratified networks CAN
10.5281/zenodo.5544704,open,PatchFlow v1.0 age-stratified networks GTM
10.5281/zenodo.3978750,closed,A practical efficient elastic full-waveform inversion for multicomponent OBS data
10.5061/dryad.k0p2ngf4z,open,Controlled packing and single-droplet resolution of 3D-printed functional synthetic tissues
10.5281/zenodo.6254739,open,DeepCAD-RT dataset: synthetic calcium imaging data
10.5281/zenodo.5465253,open,Synthetic soil temperature time-series
10.5281/zenodo.3603126,open,Synthetic grid in Pypower format
10.5281/zenodo.2642246,open,FluTE Synthetic Ecosystems for Seattle
10.5281/zenodo.3460695,open,SH component synthetic seismograms (SE_Supplementary_data)
10.5281/zenodo.573986,open,District of Columbia Synthetic Ecosystem
10.5281/zenodo.5016323,open,Synthetic data for the Bourbonnais
10.5281/zenodo.3972378,open,Raw MPIA/1DNLTE Synthetic Spectra
10.5281/zenodo.5136342,open,synthetic dataset covid-19 PER
10.5281/zenodo.4124309,open,Synthetic Depth & Thermal (SDT) Dataset
