doi,access_right,title,description
10.5281/zenodo.1005745,open,Synthetic Networks,"<p>Set of synthetic networks generated using the Java JUNG library.</p>

<p>Networks divided into folders based on network size, with range of sizes from 1000 to 250000 nodes.</p>

<p>Contains small world, scale free and random networks.</p>

<p>First line of file reads: 'Seed for weights:[Number]'</p>

<p>Provides a seed for any random number generator to allow for consistent edge weights when re-using network.</p>

<p>Rest of file made of node pairs written as : [Source node ID]:[Destination node ID]</p>"
10.5281/zenodo.3737112,open,Synthetic metagenome,"<p>Synthetic metagenome generated with randomreads.sh from the BBMap package (v38.79).</p>

<p>Five bacterial genome assemblies were downloaded from NCBI:</p>

<p><strong>name;genome_id;taxid</strong><br>
Thermoplasmatales archaeon I-plasma;GCA_009387875;667138<br>
Patulibacter medicamentivorans;GCF_000240225;1097667<br>
Lachnospiraceae bacterium 2_1_46FAA;GCA_000209385;742723<br>
Enterobacteriaceae bacterium LSJC7;GCA_000302695;1224136<br>
Burkholderia mallei 2002721280;GCF_000011705;370895</p>

<p>200,000 paired reads were generated from each genome by running:</p>

<pre><code class=""language-bash"">randomreads.sh ref=&lt;genome&gt;.fna out1=&lt;genome&gt;_1.fq out2=&lt;genome&gt;_2.fq reads=200000 paired=t illuminanames=t prefix=&lt;taxid&gt;
</code></pre>

<p>The two paired fastq files were concatenated and gzipped separately.</p>"
10.5281/zenodo.6237158,open,VGGSound-Synthetic,<p>VGGSound-Synthetic dataset</p>
10.5281/zenodo.5673924,open,Synthetic time series data generation for edge analytics,"<p>In this research, we create synthetic data with features that are like data from IoT devices. We use an existing air quality dataset that includes temperature and gas sensor measurements. This real-time dataset includes component values for the Air Quality Index (AQI) and ppm concentrations for various polluting gas concentrations. We build a JavaScript Object Notation (JSON) model to capture the distribution of variables and structure of this real dataset to generate the synthetic data. Based on the synthetic dataset and original dataset, we create a comparative predictive model. Analysis of synthetic dataset predictive model shows that it can be successfully used for edge analytics purposes, replacing real-world datasets. There is no significant difference between the real-world dataset compared the synthetic dataset. The generated synthetic data requires no modification to suit the edge computing requirements. The framework can generate correct synthetic datasets based on JSON schema attributes. The accuracy, precision, and recall values for the real and synthetic datasets indicate that the logistic regression model is capable of successfully classifying data</p>"
10.5061/dryad.6djh9w0wv,open,Electrochemical and thermodynamic properties of 1-phenyl-3-(phenylamino)propan -1-one with Na2WO4 on N80 Steel,"<p>The corrosion inhibition effect and adsorption behavior of 1-phenyl-3-(phenylamino)propan-1-one(PPAPO) on N80 steel in hydrochloric solution have been investigated by Fourier transform infrared (FTIR), electrochemical method and scanning electron microscopy (SEM). The corrosion inhibition mechanism of PPAPO with Na<sub>2</sub>WO<sub>4</sub> was interpreted from the point of view of the thermodynamic. The results indicated that PPAPO with Na<sub>2</sub>WO<sub>4</sub> acted as a mixed type inhibitor. The inhibition film formed on N80 steel surface can increase the charge transfer resistance and prevent the occurrence of corrosion reaction, thereby reducing the corrosion rate of metal surface. The inhibition efficiency was up to 99.65%; and the inhibitor PPAPO with Na<sub>2</sub>WO<sub>4</sub> showed good synergistic effect on N80 corrosion behavior in HCl solution. The adsorption behavior of inhibitors on N80 steel surface was in accordance with the Langmuir adsorption model, and mainly belonged to chemisorption. The adsorption process of PPAPO on N80 surface was spontaneous and irreversible endothermic reaction.</p>"
10.5281/zenodo.5533864,open,Primary data,"<p>Abstract</p>

<p>Electron-deficient olefin (EDO) ligands are known to promote a variety of nickel-catalyzed cross-coupling reactions, presumably by accelerating the reductive elimination step and preventing undesired &beta;-hydride elimination. While there is a growing body of experimental and computational evidence elucidating the beneficial effects of EDO ligands, significant gaps remain in our understanding of the underlying coordination chemistry of the Ni&ndash;EDO species involved. In particular, most procedures rely on in situ assembly of the active catalyst, and there is a paucity of preligated Ni&ndash;EDO precatalysts. Herein, we investigate the 16-electron, heteroleptic nickel complex, Ni(COD)(DMFU), and examine the performance of this complex as a precatalyst in 1,2-diarylation of alkenes.</p>"
10.5281/zenodo.4659983,open,Synthetic SNDS database,<p>Example of synthetic database generated by our synthetic administrative healthcare database generator (blinded submission)</p>
10.5061/dryad.4qrfj6q6d,open,Data from: Cell death and survival due to cytotoxic exposure modeled as a two-state Ising system,"<p>Cancer chemotherapy agents are assessed for their therapeutic utility primarily by their ability to cause apoptosis of cancer cells and their potency is given by an IC50 value. Chemotherapy uses both target-specific and systemic-action drugs and drug combinations to treat cancer. It is important to judiciously choose a drug type, its dosage, and schedule for optimized drug selection and administration. Consequently, the precise mathematical formulation of cancer cells response to chemotherapy may assist in the selection process. In this paper, we propose a mathematical description of the cancer cell response to chemotherapeutic agent exposure based on a time-tested physical model of two-state multiple-component systems near criticality. We describe the Ising model methodology and apply it to a diverse panel of cytotoxic drugs administered against numerous cancer cell lines in a dose-response manner. The analyzed dataset was generated by the Netherlands Translational Research Center B.V.(Oncolines). This approach allows for an accurate and consistent analysis of cytotoxic agents' effects on cancer cell lines and reveals the presence or absence of the bystander effect through the interaction constant. By calculating the susceptibility function, we see the value of IC50 coinciding with the peak of this measure of the system's sensitivity to external perturbations.</p>"
10.5061/dryad.784vv04,open,"Data from: Synchronous fluorescence as a green and selective tool for simultaneous determination of bambuterol and its main degradation product, terbutaline","A green, sensitive and cost-effective method is introduced in this research for the determination of bambuterol and its main degradation product; terbutaline simultaneously relied on the synchronous spectrofluorimetric technique. First derivative synchronous spectrofluorimetric amplitude is measured at Δλ=20 nm, so bambuterol can be quantitated at 260 nm, and terbutaline can be measured at 290 nm, each at the zero crossing point of the other. The amplitude-concentration plots were linear over the concentration ranges of 0.2-6.0 g/mL and 0.2-4.0 g/mL for both bambuterol and terbutaline, respectively. Official guidelines were followed to calculate the validation parameters of the proposed method. The low values of LODs 0.023, 0.056 g/mL and LOQs 0.071, 0.169 g/mL for bambuterol and terbutaline, respectively point out to the sensitivity of the method. Bambuterol is a prodrug for terbutaline, and the latter is considered its degradation product so the established method could be regarded as a stability-indicating one.  Moreover, the proposed method is utilized for the analysis of BAM and TEB in their single ingredient preparations and the results revealed statistical agreement with the reference method. The suggested method, being simple and low cost procedure, is superior to the previously published methods which need more sophisticated techniques, longer analysis time and highly toxic solvents and reagents. It could be considered as an ecofriendly analytical procedure."
10.5281/zenodo.2527910,open,ncrncornell/ced2ar-synlbd-codebook: DDI Codebook for the Synthetic LBD,"<p>Codebook for the Synthetic LBD, a Census Bureau data product, see <a href=""https://www.census.gov/ces/dataproducts/synlbd/"">https://www.census.gov/ces/dataproducts/synlbd/</a>.</p>

<p>The SynLBD usage model relies on a Synthetic Data Server, maintained (as of 2018) by Cornell University, see <a href=""https://www2.vrdc.cornell.edu/news/synthetic-data-server/"">https://www2.vrdc.cornell.edu/news/synthetic-data-server/</a>.</p>

<p>Live version of the DDI codebook at <a href=""https://www2.ncrn.cornell.edu/ced2ar-web/codebooks/synlbd/"">https://www2.ncrn.cornell.edu/ced2ar-web/codebooks/synlbd/</a></p>"
10.5281/zenodo.846639,open,Supplement_Stochastic_Reconstruction_and_Interpolation_of_Precipitation_Fields_Using_Combinded_Information_CML_and_RG,"<p>This file includes the synthetic dataset used in the study ""Stochastic Reconstruction and Interpolation of Precipitation Fields Using Combined Information of Commercial Microwave Links and Rain Gauges"", including the full synthetic reference fields (VR_precip_h_30052013_02062013.nc) as well as the used synthetic rain gauge (precip_VRObs_dry+wet_30052013_02062013_Pgr1mm.csv) and commercial microwave links (VROBS_MWL_selection_Pgr1mm.csv) input data.</p>

<p>The simulated ensembles of possible realizations of the precipitation fields are stored for the synthetic (simulation_VR) and real (simulation_realworld) world dataset. A corresponding description of the grid can be found in gridinfo.txt.</p>"
10.5281/zenodo.573993,open,Iowa Synthetic Ecosystem,"Iowa synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574081,open,Portugal Synthetic Ecosystem,Portugal synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.573996,open,Louisiana Synthetic Ecosystem,"Louisiana synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573983,open,Colorado Synthetic Ecosystem,"Colorado synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573980,open,Arizona Synthetic Ecosystem,"Arizona synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574064,open,Kenya Synthetic Ecosystem,Kenya synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574098,open,Vietnam Synthetic Ecosystem,Vietnam synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574073,open,Malaysia Synthetic Ecosystem,Malaysia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574076,open,Netherlands Synthetic Ecosystem,Netherlands synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574089,open,Slovenia Synthetic Ecosystem,Slovenia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574051,open,Fiji Synthetic Ecosystem,Fiji synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574100,open,Zambia Synthetic Ecosystem,Zambia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574004,open,Montana Synthetic Ecosystem,"Montana synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574057,open,Indonesia Synthetic Ecosystem,Indonesia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574060,open,Israel Synthetic Ecosystem,Israel synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574053,open,Ghana Synthetic Ecosystem,Ghana synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574049,open,Spain Synthetic Ecosystem,Spain synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574003,open,Missouri Synthetic Ecosystem,"Missouri synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574045,open,Germany Synthetic Ecosystem,Germany synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574006,open,Nevada Synthetic Ecosystem,"Nevada synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.33629,open,Streptorubin Synthetic procedure,<p>Synthetic procedure &nbsp;for Streptorubin</p>
10.5281/zenodo.574000,open,Michigan Synthetic Ecosystem,"Michigan synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573994,open,Kansas Synthetic Ecosystem,"Kansas synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574094,open,Ukraine Synthetic Ecosystem,Ukraine synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574083,open,Romania Synthetic Ecosystem,Romania synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574015,open,Oregon Synthetic Ecosystem,"Oregon synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573997,open,Maine Synthetic Ecosystem,"Maine synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573987,open,Florida Synthetic Ecosystem,"Florida synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574052,open,France Synthetic Ecosystem,France synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574063,open,Jordan Synthetic Ecosystem,Jordan synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574025,open,Washington Synthetic Ecosystem,"Washington synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574077,open,Pakistan Synthetic Ecosystem,Pakistan synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574040,open,China Synthetic Ecosystem,China synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574093,open,Uganda Synthetic Ecosystem,Uganda synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574014,open,Oklahoma Synthetic Ecosystem,"Oklahoma synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574091,open,Turkey Synthetic Ecosystem,Turkey synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574020,open,Tennessee Synthetic Ecosystem,"Tennessee synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573999,open,Massachusetts Synthetic Ecosystem,"Massachusetts synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574001,open,Minnesota Synthetic Ecosystem,"Minnesota synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573982,open,California Synthetic Ecosystem,"California synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573998,open,Maryland Synthetic Ecosystem,"Maryland synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.573988,open,Georgia Synthetic Ecosystem,"Georgia synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574016,open,Pennsylvania Synthetic Ecosystem,"Pennsylvania synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574024,open,Virginia Synthetic Ecosystem,"Virginia synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574067,open,Morocco Synthetic Ecosystem,Morocco synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
10.5281/zenodo.574023,open,Vermont Synthetic Ecosystem,"Vermont synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574027,open,Wisconsin Synthetic Ecosystem,"Wisconsin synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.6078/D15Q4K,open,Synthetic Log-Conductivity,"<p>This dataset contains the baseline fields for the case study described in the manuscript <em>Hydrogeological Modeling and Water Resources Management: Improving the Link between Data, Prediction, and Decision-Making </em>(<strong>Water Resources Research</strong>, under review). The data are described in the files readme.txt and example_code.R. </p>"
10.5281/zenodo.573984,open,Connecticut Synthetic Ecosystem,"Connecticut synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."
10.5281/zenodo.574086,open,Senegal Synthetic Ecosystem,Senegal synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.
